Name: name2
Start coordinates: (11, 123, 3)
Velocity: (11, 234, 12)
t - time past
r - real
p - predicted
s - sigma

t: 117	r: 75944 1.61542e+06 82839	p: 75913.6 1.6116e+06 82839	s: 0.000799642
t: 118	r: 77242 1.64304e+06 84255	p: 78879.5 1.6431e+06 84255	s: 0.0070667
t: 119	r: 78551 1.67088e+06 85683	p: 78458.6 1.67224e+06 85683	s: 0.000476537
t: 120	r: 79871 1.69896e+06 87123	p: 79894.5 1.69926e+06 87123	s: 0.000113971
t: 121	r: 81202 1.72728e+06 88575	p: 80664.9 1.72736e+06 88575	s: 0.00220485
t: 122	r: 82544 1.75582e+06 90039	p: 83158.3 1.75435e+06 90039	s: 0.00249617
t: 123	r: 83897 1.78461e+06 91515	p: 84698.9 1.78384e+06 91515	s: 0.00318914
t: 124	r: 85261 1.81362e+06 93003	p: 84331.9 1.81395e+06 93003	s: 0.00363305
t: 125	r: 86636 1.84287e+06 94503	p: 87417.3 1.84343e+06 94503	s: 0.00300777
t: 126	r: 88022 1.87236e+06 96015	p: 87724.5 1.87568e+06 96015	s: 0.00127237
t: 127	r: 89419 1.90208e+06 97539	p: 90035.3 1.90061e+06 97539	s: 0.00231194
t: 128	r: 90827 1.93203e+06 99075	p: 91377.3 1.93157e+06 99075	s: 0.00202104
t: 129	r: 92246 1.96221e+06 100623	p: 93538.7 1.96191e+06 100623	s: 0.00467145
t: 130	r: 93676 1.99263e+06 102183	p: 93113.4 1.99057e+06 102183	s: 0.00203145
t: 131	r: 95117 2.02329e+06 103755	p: 94796 2.0229e+06 103755	s: 0.00112688
t: 132	r: 96569 2.05418e+06 105339	p: 97306.4 2.05219e+06 105339	s: 0.00256544
t: 133	r: 98032 2.0853e+06 106935	p: 100647 2.08437e+06 106935	s: 0.00889126
t: 134	r: 99506 2.11665e+06 108543	p: 100638 2.11232e+06 108543	s: 0.00385244
t: 135	r: 100991 2.14824e+06 110163	p: 102206 2.14685e+06 110163	s: 0.00401643
t: 136	r: 102487 2.18007e+06 111795	p: 102501 2.18052e+06 111795	s: 8.2649e-05
t: 137	r: 103994 2.21212e+06 113439	p: 103065 2.21341e+06 113439	s: 0.00298368
t: 138	r: 105512 2.24442e+06 115095	p: 105528 2.24404e+06 115095	s: 7.64221e-05
t: 139	r: 107041 2.27694e+06 116763	p: 106981 2.27786e+06 116763	s: 0.000230244
t: 140	r: 108581 2.3097e+06 118443	p: 109193 2.31122e+06 118443	s: 0.00189207
t: 141	r: 110132 2.3427e+06 120135	p: 110336 2.34421e+06 120135	s: 0.000653704
t: 142	r: 111694 2.37592e+06 121839	p: 112187 2.37589e+06 121839	s: 0.0014724
t: 143	r: 113267 2.40939e+06 123555	p: 113969 2.41049e+06 123555	s: 0.00207073
t: 144	r: 114851 2.44308e+06 125283	p: 114701 2.4439e+06 125283	s: 0.000449673
t: 145	r: 116446 2.47701e+06 127023	p: 114676 2.47723e+06 127023	s: 0.00506752
t: 146	r: 118052 2.51118e+06 128775	p: 117918 2.51018e+06 128775	s: 0.000400099
t: 147	r: 119669 2.54558e+06 130539	p: 119602 2.54335e+06 130539	s: 0.000345514
t: 148	r: 121297 2.58021e+06 132315	p: 122475 2.58082e+06 132315	s: 0.00323805
t: 149	r: 122936 2.61507e+06 134103	p: 121984 2.61494e+06 134103	s: 0.00258145
t: 150	r: 124586 2.65017e+06 135903	p: 124272 2.64965e+06 135903	s: 0.000842449
t: 151	r: 126247 2.68551e+06 137715	p: 125037 2.68512e+06 137715	s: 0.00319499
t: 152	r: 127919 2.72108e+06 139539	p: 128473 2.71984e+06 139539	s: 0.00145264
t: 153	r: 129602 2.75688e+06 141375	p: 130690 2.7563e+06 141375	s: 0.00279974
t: 154	r: 131296 2.79291e+06 143223	p: 131512 2.79158e+06 143223	s: 0.000570913
t: 155	r: 133001 2.82918e+06 145083	p: 132716 2.82915e+06 145083	s: 0.000715436
t: 156	r: 134717 2.86569e+06 146955	p: 134566 2.86566e+06 146955	s: 0.00037271
t: 157	r: 136444 2.90242e+06 148839	p: 136179 2.90261e+06 148839	s: 0.000648714
t: 158	r: 138182 2.9394e+06 150735	p: 138767 2.93866e+06 150735	s: 0.00141253
t: 159	r: 139931 2.9766e+06 152643	p: 142765 2.97638e+06 152643	s: 0.00675009
t: 160	r: 141691 3.01404e+06 154563	p: 141595 3.01727e+06 154563	s: 0.000422198
t: 161	r: 143462 3.05172e+06 156495	p: 144827 3.05204e+06 156495	s: 0.00317172
t: 162	r: 145244 3.08962e+06 158439	p: 145374 3.08596e+06 158439	s: 0.000495143
t: 163	r: 147037 3.12777e+06 160395	p: 148108 3.12545e+06 160395	s: 0.0024406
t: 164	r: 148841 3.16614e+06 162363	p: 149285 3.16852e+06 162363	s: 0.00102464
t: 165	r: 150656 3.20475e+06 164343	p: 150550 3.2027e+06 164343	s: 0.0003173
t: 166	r: 152482 3.2436e+06 166335	p: 153227 3.24645e+06 166335	s: 0.00165504
t: 167	r: 154319 3.28268e+06 168339	p: 155105 3.28433e+06 168339	s: 0.00170548
t: 168	r: 156167 3.32199e+06 170355	p: 157777 3.32638e+06 170355	s: 0.0034639
t: 169	r: 158026 3.36153e+06 172383	p: 160164 3.36727e+06 172383	s: 0.00454636
t: 170	r: 159896 3.40131e+06 174423	p: 163252 3.3992e+06 174423	s: 0.00699853
t: 171	r: 161777 3.44133e+06 176475	p: 161396 3.43988e+06 176475	s: 0.000798006
t: 172	r: 163669 3.48158e+06 178539	p: 164802 3.48287e+06 178539	s: 0.00231098
t: 173	r: 165572 3.52206e+06 180615	p: 159519 3.51961e+06 180615	s: 0.0121891
t: 174	r: 167486 3.56277e+06 182703	p: 167741 3.56198e+06 182703	s: 0.00051357
t: 175	r: 169411 3.60372e+06 184803	p: 170622 3.60482e+06 184803	s: 0.00238399
t: 176	r: 171347 3.64491e+06 186915	p: 172956 3.64454e+06 186915	s: 0.00313095
t: 177	r: 173294 3.68632e+06 189039	p: 172765 3.68649e+06 189039	s: 0.00101752
t: 178	r: 175252 3.72798e+06 191175	p: 177876 3.72765e+06 191175	s: 0.00499113
t: 179	r: 177221 3.76986e+06 193323	p: 175949 3.76828e+06 193323	s: 0.00239591
t: 180	r: 179201 3.81198e+06 195483	p: 177421 3.81117e+06 195483	s: 0.00331226
t: 181	r: 181192 3.85434e+06 197655	p: 180487 3.85791e+06 197655	s: 0.00133268
t: 182	r: 183194 3.89692e+06 199839	p: 181263 3.89502e+06 199839	s: 0.00351745
t: 183	r: 185207 3.93975e+06 202035	p: 186299 3.94177e+06 202035	s: 0.00197239
t: 184	r: 187231 3.9828e+06 204243	p: 186866 3.97892e+06 204243	s: 0.000726539
t: 185	r: 189266 4.02609e+06 206463	p: 186236 4.03245e+06 206463	s: 0.00536313
t: 186	r: 191312 4.06962e+06 208695	p: 189608 4.06813e+06 208695	s: 0.00297152
t: 187	r: 193369 4.11338e+06 210939	p: 193998 4.1067e+06 210939	s: 0.00121132
t: 188	r: 195437 4.15737e+06 213195	p: 192999 4.15493e+06 213195	s: 0.00416211
t: 189	r: 197516 4.20159e+06 215463	p: 196404 4.20405e+06 215463	s: 0.00188596
t: 190	r: 199606 4.24605e+06 217743	p: 202499 4.24716e+06 217743	s: 0.00483219
t: 191	r: 201707 4.29075e+06 220035	p: 204760 4.29246e+06 220035	s: 0.00504743
t: 192	r: 203819 4.33568e+06 222339	p: 206003 4.33186e+06 222339	s: 0.00358429
t: 193	r: 205942 4.38084e+06 224655	p: 204088 4.3828e+06 224655	s: 0.00300379
t: 194	r: 208076 4.42623e+06 226983	p: 205483 4.42094e+06 226983	s: 0.00417345
t: 195	r: 210221 4.47186e+06 229323	p: 205585 4.46968e+06 229323	s: 0.00735207
t: 196	r: 212377 4.51773e+06 231675	p: 210878 4.51621e+06 231675	s: 0.00235531
t: 197	r: 214544 4.56382e+06 234039	p: 213315 4.56532e+06 234039	s: 0.0019128
t: 198	r: 216722 4.61016e+06 236415	p: 215715 4.6164e+06 236415	s: 0.00161288
t: 199	r: 218911 4.65672e+06 238803	p: 215911 4.65764e+06 238803	s: 0.00456848
t: 200	r: 221111 4.70352e+06 241203	p: 218177 4.70431e+06 241203	s: 0.00442353
t: 201	r: 223322 4.75056e+06 243615	p: 221778 4.75268e+06 243615	s: 0.00230952
t: 202	r: 225544 4.79782e+06 246039	p: 227752 4.80087e+06 246039	s: 0.00327075
t: 203	r: 227777 4.84533e+06 248475	p: 228792 4.84227e+06 248475	s: 0.00150053
t: 204	r: 230021 4.89306e+06 250923	p: 228891 4.89556e+06 250923	s: 0.0016459
t: 205	r: 232276 4.94103e+06 253383	p: 231996 4.94319e+06 253383	s: 0.000427213
t: 206	r: 234542 4.98924e+06 255855	p: 236100 4.98788e+06 255855	s: 0.00221595
t: 207	r: 236819 5.03768e+06 258339	p: 238657 5.03643e+06 258339	s: 0.00258855
t: 208	r: 239107 5.08635e+06 260835	p: 239705 5.09252e+06 260835	s: 0.000926885
t: 209	r: 241406 5.13525e+06 263343	p: 242762 5.14028e+06 263343	s: 0.00190019
t: 210	r: 243716 5.18439e+06 265863	p: 244365 5.18623e+06 265863	s: 0.000895795
t: 211	r: 246037 5.23377e+06 268395	p: 244210 5.227e+06 268395	s: 0.00251259
t: 212	r: 248369 5.28338e+06 270939	p: 244112 5.27852e+06 270939	s: 0.005722
t: 213	r: 250712 5.33322e+06 273495	p: 249464 5.3312e+06 273495	s: 0.00166407
t: 214	r: 253066 5.38329e+06 276063	p: 256183 5.3772e+06 276063	s: 0.00412335
t: 215	r: 255431 5.4336e+06 278643	p: 255570 5.43328e+06 278643	s: 0.000182531
t: 216	r: 257807 5.48415e+06 281235	p: 252618 5.48789e+06 281235	s: 0.00671247
